education,customer_id,age,marital,job,default,balance,housing,loan
tertiary,141266,25.0,single,technician,no,3411,no,no
secondary,141269,59.0,divorced,retired,no,1,no,no
secondary,141270,44.0,married,admin.,no,10905,no,no
tertiary,141271,42.0,married,management,no,976,no,no
tertiary,141273,29.0,single,management,no,2531,no,no
tertiary,141274,32.0,married,management,no,1270,no,no
tertiary,141275,30.0,single,management,no,5359,no,no
secondary,141277,38.0,married,technician,no,10596,no,no
tertiary,141281,22.0,single,student,no,691,no,no
secondary,141283,28.0,single,student,no,67,no,no
tertiary,141285,25.0,single,entrepreneur,no,347,no,no
tertiary,141286,34.0,single,self-employed,no,9962,no,no
tertiary,141287,59.0,married,management,no,2239,no,no
tertiary,141290,27.0,single,technician,no,11862,no,no
secondary,141294,62.0,divorced,self-employed,no,0,yes,no
tertiary,141299,35.0,single,management,no,1756,no,no
secondary,141300,45.0,married,housemaid,no,4068,no,no
secondary,141302,46.0,married,admin.,no,368,no,no
secondary,141305,34.0,married,admin.,no,1406,yes,no
tertiary,141306,34.0,married,technician,no,197,no,no
primary,141309,42.0,married,management,no,5310,yes,no
secondary,141311,20.0,single,student,no,215,no,no
secondary,141312,60.0,married,admin.,no,106,no,no
secondary,141315,39.0,married,management,no,18,yes,no
tertiary,141317,47.0,married,management,no,0,no,yes
secondary,141318,52.0,divorced,admin.,no,363,yes,no
secondary,141321,61.0,married,admin.,no,1046,yes,no
secondary,141322,25.0,single,student,no,469,no,no
tertiary,141326,53.0,married,technician,no,0,yes,no
secondary,141328,65.0,married,retired,no,2326,no,yes
secondary,141329,50.0,married,technician,no,3370,no,no
secondary,141331,22.0,single,student,no,144,no,no
secondary,141332,43.0,single,admin.,no,733,yes,no
tertiary,141333,59.0,married,management,no,474,no,no
tertiary,141335,53.0,divorced,retired,no,-309,yes,no
secondary,141337,38.0,married,technician,no,6728,no,no
secondary,141338,71.0,divorced,retired,no,5584,no,no
tertiary,141339,32.0,married,admin.,no,227,no,no
secondary,141341,28.0,married,blue-collar,no,61,yes,no
secondary,141342,59.0,married,unemployed,no,1047,no,no
tertiary,141346,29.0,single,management,no,265,no,no
secondary,141347,51.0,married,technician,no,117,no,no
tertiary,141349,48.0,married,housemaid,no,5473,no,no
tertiary,141351,58.0,married,management,no,1313,no,no
secondary,141355,42.0,married,admin.,no,16517,no,no
tertiary,141356,40.0,married,unemployed,no,2430,no,no
primary,141358,77.0,married,retired,no,680,no,no
primary,141364,37.0,married,blue-collar,no,106,yes,no
tertiary,141365,37.0,married,technician,no,127,yes,no
tertiary,141366,30.0,married,student,no,324,no,no
secondary,141370,53.0,married,technician,no,65,no,no
unknown,141374,18.0,single,student,no,3,no,no
tertiary,141376,64.0,married,retired,no,380,no,no
secondary,141377,69.0,married,retired,no,0,no,no
tertiary,141379,36.0,married,management,no,255,no,no
secondary,141380,43.0,married,services,no,2145,no,no
primary,141384,63.0,married,housemaid,no,91,no,no
secondary,141387,70.0,married,retired,no,1853,no,no
primary,141388,60.0,single,technician,no,11262,no,no
secondary,141389,26.0,single,student,no,620,no,no
primary,141392,86.0,divorced,retired,no,0,no,no
unknown,141394,64.0,married,retired,no,34,no,no
secondary,141395,72.0,married,retired,no,1129,no,no
tertiary,141396,42.0,married,management,no,294,no,no
tertiary,141397,60.0,married,retired,no,108,no,no
tertiary,141398,43.0,single,management,no,1696,yes,no
secondary,141401,25.0,single,student,no,331,no,no
unknown,141404,57.0,divorced,management,no,854,no,no
tertiary,141407,28.0,single,management,no,223,yes,no
secondary,141408,36.0,single,blue-collar,no,40,yes,no
secondary,141411,66.0,married,retired,no,2048,no,no
tertiary,141412,33.0,single,technician,no,3689,no,no
secondary,141415,36.0,single,technician,no,539,yes,no
secondary,141416,29.0,single,technician,no,590,no,no
tertiary,141419,68.0,married,retired,no,2820,no,no
secondary,141421,62.0,married,unemployed,no,780,no,no
secondary,141424,34.0,single,technician,no,2583,no,no
tertiary,141429,34.0,single,technician,no,612,no,no
secondary,141433,34.0,married,blue-collar,no,1464,yes,no
tertiary,141435,29.0,single,unemployed,no,1311,no,no
tertiary,141436,30.0,married,management,no,7,yes,no
tertiary,141439,32.0,married,technician,no,636,yes,no
primary,141441,39.0,single,blue-collar,no,24277,no,no
secondary,141445,55.0,divorced,admin.,no,1872,no,no
tertiary,141446,36.0,single,management,no,490,no,no
tertiary,141454,27.0,single,student,no,118,no,no
tertiary,141455,45.0,married,management,no,4119,yes,yes
unknown,141458,55.0,married,management,no,1504,yes,no
secondary,141461,52.0,married,blue-collar,no,2087,yes,no
tertiary,141464,49.0,single,management,no,5689,no,no
tertiary,141466,25.0,single,technician,no,1231,no,no
secondary,141468,22.0,single,services,no,652,no,no
primary,141469,30.0,married,blue-collar,no,201,yes,no
secondary,141472,33.0,single,technician,no,1429,yes,no
tertiary,141478,39.0,married,management,no,119,yes,no
tertiary,141483,48.0,divorced,management,no,17964,yes,no
tertiary,141491,36.0,married,management,no,1113,no,no
secondary,141492,27.0,married,admin.,no,1596,no,no
tertiary,141493,51.0,married,management,no,2635,no,no
secondary,141494,25.0,single,services,no,162,yes,no
secondary,141495,35.0,single,technician,no,183,no,no
secondary,141496,48.0,married,technician,no,568,yes,no
secondary,141497,70.0,married,retired,no,2626,no,no
secondary,141498,63.0,married,retired,no,4752,no,no
secondary,141500,34.0,single,services,no,528,yes,no
secondary,141502,44.0,married,admin.,no,764,yes,no
tertiary,141505,46.0,married,admin.,no,2552,no,no
tertiary,141506,71.0,married,retired,no,653,no,no
tertiary,141508,44.0,single,technician,no,2033,no,no
tertiary,141511,31.0,single,self-employed,no,3343,no,no
secondary,141512,32.0,married,admin.,no,995,no,no
secondary,141514,72.0,married,management,no,6199,no,no
tertiary,141517,40.0,single,unemployed,no,7968,no,no
tertiary,141519,62.0,married,management,no,0,no,no
secondary,141523,30.0,single,ADMINISTRATION,no,0,no,no
primary,141526,55.0,married,management,no,2587,no,no
secondary,141528,60.0,married,retired,no,5267,no,no
tertiary,141529,57.0,divorced,management,no,6468,yes,no
tertiary,141530,30.0,single,management,no,1675,no,no
SECONDARY,141531,52.0,married,technician,no,1423,no,no
secondary,141537,59.0,single,admin.,no,4744,no,no
tertiary,141538,31.0,single,technician,no,882,no,no
secondary,141539,26.0,single,technician,no,1231,yes,no
unknown,141540,73.0,married,retired,no,3443,no,no
secondary,141541,30.0,single,admin.,no,2568,no,no
tertiary,141545,35.0,single,management,no,80,no,no
secondary,141547,19.0,single,student,no,527,no,no
tertiary,141552,64.0,married,retired,no,1644,no,no
tertiary,141553,36.0,married,technician,no,1354,no,no
secondary,141554,55.0,married,admin.,no,602,no,no
tertiary,141556,63.0,married,retired,no,1795,no,no
tertiary,141557,35.0,single,management,no,7918,no,no
tertiary,141563,33.0,married,management,no,1390,no,no
secondary,141566,52.0,married,technician,no,0,yes,no
tertiary,141569,34.0,single,management,no,268,no,no
tertiary,141572,27.0,married,entrepreneur,no,1991,no,yes
secondary,141573,36.0,married,services,no,52,yes,no
tertiary,141574,31.0,single,management,no,924,no,no
tertiary,141576,45.0,single,management,no,1411,no,no
secondary,141578,24.0,single,unemployed,no,2696,no,no
tertiary,141579,59.0,married,management,no,315,no,no
primary,141582,47.0,single,retired,no,3033,no,no
tertiary,141583,50.0,married,admin.,no,6574,no,no
secondary,141585,70.0,divorced,retired,no,0,no,no
secondary,141587,43.0,married,blue-collar,no,2160,no,no
unknown,141588,18.0,single,student,no,108,no,no
secondary,141590,33.0,married,self-employed,no,409,no,no
secondary,141591,24.0,single,technician,no,726,no,no
secondary,141593,25.0,single,admin.,no,1871,no,no
tertiary,141594,26.0,single,management,no,1094,yes,no
tertiary,141595,32.0,single,management,no,2915,no,no
unknown,141598,25.0,single,student,no,480,no,no
secondary,141599,39.0,married,technician,no,1587,yes,no
tertiary,141600,58.0,married,management,no,1227,no,no
tertiary,141603,42.0,married,management,no,1205,no,no
secondary,141604,30.0,single,blue-collar,no,161,no,yes
primary,141606,76.0,divorced,retired,no,802,no,no
secondary,141607,79.0,married,retired,no,723,no,no
primary,141609,70.0,married,retired,no,6538,no,no
tertiary,141610,35.0,married,management,no,2161,no,no
tertiary,141611,30.0,single,management,no,147,no,no
secondary,141612,60.0,married,retired,no,0,no,no
primary,141613,50.0,married,blue-collar,no,3764,no,no
secondary,141615,51.0,married,unemployed,no,1416,no,no
tertiary,141616,71.0,married,retired,no,14220,yes,no
tertiary,141619,31.0,single,management,no,12569,no,no
secondary,141626,32.0,single,admin.,no,555,yes,no
tertiary,141629,34.0,married,management,no,158,no,no
secondary,141630,28.0,single,admin.,no,261,yes,yes
tertiary,141632,45.0,married,management,no,786,no,no
secondary,141633,32.0,married,blue-collar,no,889,yes,no
primary,141635,62.0,married,retired,no,383,no,no
primary,141637,53.0,married,entrepreneur,no,27,yes,no
tertiary,141643,38.0,single,unknown,no,0,no,no
primary,141646,58.0,married,housemaid,no,4605,no,no
secondary,141648,56.0,single,admin.,no,2815,yes,no
SECONDARY,141650,42.0,married,technician,no,3082,no,no
tertiary,141651,36.0,married,management,no,495,no,no
secondary,141653,47.0,married,technician,no,1233,yes,no
unknown,141655,73.0,married,retired,no,739,no,no
secondary,141656,46.0,married,blue-collar,no,640,yes,no
tertiary,141657,32.0,single,management,no,2,yes,no
tertiary,141658,73.0,married,retired,no,1843,no,no
secondary,141660,28.0,single,blue-collar,no,322,no,no
tertiary,141661,46.0,married,management,no,7331,no,no
primary,141662,74.0,married,retired,no,1765,no,no
tertiary,141663,71.0,divorced,retired,yes,1236,yes,no
secondary,141667,41.0,divorced,admin.,no,6046,yes,yes
primary,141670,73.0,married,retired,no,934,no,no
tertiary,141671,37.0,married,management,no,99,no,no
secondary,141672,47.0,divorced,technician,no,1013,no,no
tertiary,141673,49.0,divorced,technician,no,596,yes,no
tertiary,141674,48.0,married,management,no,2351,no,no
tertiary,141675,46.0,married,management,no,273,yes,no
secondary,141676,40.0,married,ADMINISTRATION,no,4775,no,no
primary,141677,57.0,married,blue-collar,no,3109,no,no
secondary,141678,50.0,married,housemaid,no,388,no,no
secondary,141679,34.0,married,blue-collar,no,262,no,no
secondary,141680,56.0,married,services,no,654,no,no
tertiary,141682,32.0,single,technician,no,1855,no,no
tertiary,141683,50.0,divorced,management,no,810,no,no
secondary,141684,54.0,divorced,unemployed,no,1664,no,no
tertiary,141686,26.0,single,management,no,362,no,no
tertiary,141687,33.0,married,management,no,1323,no,no
tertiary,141689,40.0,married,technician,no,1293,no,no
tertiary,141690,31.0,single,management,no,3384,no,no
unknown,141691,29.0,single,management,no,345,no,no
tertiary,141692,29.0,single,management,no,874,yes,no
secondary,141693,40.0,married,technician,no,1819,no,no
primary,141696,52.0,married,housemaid,no,10943,no,no
secondary,141697,38.0,married,technician,no,4539,no,no
tertiary,141702,35.0,single,management,no,805,no,no
tertiary,141704,46.0,married,management,no,2817,no,no
tertiary,141706,26.0,single,management,no,1646,no,no
tertiary,141707,25.0,single,management,no,808,no,no
secondary,141708,28.0,single,admin.,no,762,no,no
tertiary,141709,70.0,married,retired,no,44,no,no
primary,141711,83.0,married,retired,no,425,no,no
tertiary,141712,43.0,divorced,management,no,2367,no,no
secondary,141713,46.0,single,management,no,5993,no,no
secondary,141714,45.0,married,blue-collar,no,10252,no,no
tertiary,141715,37.0,single,admin.,no,1000,yes,no
secondary,141716,71.0,divorced,retired,no,4380,no,no
tertiary,141717,65.0,divorced,management,no,2756,no,no
tertiary,141718,27.0,single,management,no,20585,no,no
secondary,141722,47.0,married,admin.,no,2601,no,no
tertiary,141728,42.0,divorced,management,no,238,no,no
secondary,141736,77.0,divorced,retired,no,0,no,no
secondary,141737,23.0,single,technician,no,4545,no,no
tertiary,141739,61.0,married,management,no,3371,no,no
tertiary,141740,28.0,single,student,no,0,no,no
tertiary,141742,57.0,married,management,no,10583,no,no
tertiary,141744,34.0,married,management,no,16,yes,no
secondary,141745,50.0,divorced,technician,no,0,no,no
secondary,141749,40.0,married,blue-collar,no,1451,no,no
unknown,141751,57.0,married,management,no,0,no,no
secondary,141752,38.0,single,technician,no,1711,no,no
secondary,141755,84.0,married,entrepreneur,no,0,no,no
tertiary,141756,35.0,married,management,no,611,no,no
secondary,141759,26.0,single,student,no,132,no,no
secondary,141764,95.0,married,retired,no,0,no,no
tertiary,141768,54.0,single,management,no,2081,no,no
secondary,141770,41.0,married,admin.,no,158,yes,no
tertiary,141773,59.0,married,management,no,4152,yes,no
unknown,141775,37.0,married,technician,no,189,no,no
tertiary,141776,47.0,married,management,no,288,no,no
secondary,141778,44.0,married,blue-collar,no,1495,yes,no
tertiary,141779,37.0,single,management,no,1027,yes,no
tertiary,141782,28.0,single,management,no,6784,no,no
tertiary,141783,54.0,married,management,no,1464,no,no
tertiary,141784,54.0,married,management,no,8295,no,no
secondary,141791,61.0,married,retired,no,2917,no,no
tertiary,141793,34.0,married,technician,no,0,no,no
secondary,141796,30.0,single,technician,no,158,no,no
primary,141797,60.0,married,retired,no,1588,no,no
SECONDARY,141798,26.0,single,admin.,no,125,no,no
tertiary,141801,30.0,single,technician,no,655,no,no
tertiary,141802,61.0,married,management,no,2931,no,no
unknown,141804,57.0,divorced,management,no,854,no,no
unknown,141805,44.0,married,management,no,282,no,no
secondary,141810,37.0,married,blue-collar,no,604,yes,no
tertiary,141812,33.0,single,management,no,5437,no,no
tertiary,141815,25.0,single,ADMINISTRATION,no,1185,no,no
unknown,141824,54.0,married,unknown,no,895,no,no
primary,141827,68.0,married,retired,no,2398,no,no
tertiary,141828,42.0,married,unemployed,no,0,no,no
SECONDARY,141829,24.0,single,blue-collar,no,1857,yes,no
tertiary,141838,36.0,married,technician,no,4596,yes,no
unknown,141839,42.0,married,management,no,849,yes,no
secondary,141840,29.0,single,admin.,no,3528,no,no
primary,141841,58.0,married,retired,no,565,no,no
tertiary,141843,33.0,single,management,no,1781,no,no
secondary,141844,27.0,married,admin.,no,3415,no,no
primary,141845,79.0,divorced,retired,no,79,no,no
secondary,141848,60.0,divorced,admin.,no,12039,no,no
secondary,141850,47.0,married,housemaid,no,2524,no,no
secondary,141851,56.0,married,unemployed,no,12,no,no
secondary,141852,25.0,single,technician,no,139,no,yes
secondary,141853,21.0,single,student,no,2488,no,no
secondary,141856,73.0,divorced,retired,no,7111,yes,no
tertiary,141871,67.0,divorced,management,no,361,no,no
tertiary,141872,51.0,divorced,entrepreneur,no,2109,no,no
tertiary,141873,48.0,married,management,no,1093,yes,yes
secondary,141874,39.0,divorced,technician,no,385,no,no
secondary,141875,31.0,married,self-employed,no,581,yes,no
tertiary,141882,35.0,single,management,no,2646,no,no
tertiary,141883,61.0,divorced,self-employed,no,6,yes,no
secondary,141887,62.0,married,retired,no,1495,no,no
tertiary,141888,35.0,single,technician,no,670,no,no
secondary,141889,36.0,divorced,admin.,no,592,no,no
primary,141890,83.0,single,retired,no,1965,no,no
secondary,141891,27.0,married,admin.,no,132,no,no
tertiary,141894,32.0,married,technician,no,2688,no,no
secondary,141896,23.0,single,student,no,107,no,no
primary,141897,50.0,married,management,no,313,no,no
tertiary,141898,46.0,married,management,no,37378,yes,no
tertiary,141907,28.0,single,self-employed,no,1579,no,no
primary,141910,66.0,married,housemaid,no,40,no,no
tertiary,141911,35.0,single,blue-collar,no,1830,no,no
primary,141913,58.0,married,technician,no,4198,no,no
primary,141917,62.0,married,retired,no,0,no,no
secondary,141921,70.0,married,retired,no,1310,no,no
tertiary,141929,30.0,single,management,no,536,no,no
tertiary,141930,41.0,married,management,no,3872,no,no
primary,141932,54.0,married,blue-collar,no,1311,no,no
secondary,141934,26.0,single,admin.,no,766,no,no
tertiary,141935,62.0,married,housemaid,no,1528,no,no
primary,141937,43.0,married,services,no,2557,yes,no
tertiary,141939,40.0,single,unemployed,no,79,no,no
tertiary,141941,57.0,married,management,no,1318,no,no
secondary,141942,75.0,married,retired,no,3771,no,no
tertiary,141943,77.0,married,retired,no,0,no,no
tertiary,141945,31.0,married,management,no,6138,no,no
secondary,141948,22.0,single,services,no,129,no,no
tertiary,141949,50.0,married,management,no,469,no,no
tertiary,141950,27.0,married,management,no,893,no,no
secondary,141953,31.0,single,admin.,no,523,no,yes
tertiary,141957,34.0,single,services,no,3119,no,no
unknown,141959,73.0,married,retired,no,519,no,no
secondary,141961,40.0,married,technician,no,2266,no,no
secondary,141962,37.0,married,services,no,4017,no,no
tertiary,141963,44.0,single,technician,no,643,no,no
secondary,141964,40.0,married,technician,no,2338,no,no
tertiary,141966,61.0,married,management,no,0,no,no
secondary,141967,74.0,divorced,retired,no,4079,no,no
secondary,141969,63.0,married,retired,no,588,no,no
secondary,141970,61.0,divorced,technician,no,6481,no,no
secondary,141972,33.0,single,unknown,no,9,no,no
secondary,141973,47.0,married,blue-collar,no,820,no,no
tertiary,141975,39.0,single,management,no,1648,no,no
tertiary,141977,46.0,married,blue-collar,no,3745,no,no
primary,141984,46.0,single,housemaid,no,10889,no,no
unknown,141985,47.0,single,services,no,1784,no,no
primary,141986,76.0,divorced,housemaid,no,1411,no,no
primary,141988,30.0,married,unemployed,no,1787,no,no
tertiary,141990,30.0,single,admin.,no,261,no,no
tertiary,141995,30.0,single,student,no,7529,no,no
secondary,141998,31.0,single,unemployed,no,8304,no,no
primary,142000,22.0,single,student,no,3472,no,no
tertiary,142001,39.0,married,technician,no,206,no,no
primary,142003,72.0,married,retired,no,1388,no,no
unknown,142004,77.0,married,retired,no,1807,no,no
secondary,142005,36.0,married,technician,no,480,no,no
secondary,142007,65.0,married,retired,no,571,yes,no
secondary,142008,54.0,married,technician,no,3994,no,yes
secondary,142011,46.0,single,admin.,no,1693,yes,no
tertiary,142012,28.0,single,management,no,80,no,no
tertiary,142013,61.0,married,management,no,267,no,no
primary,142014,53.0,married,housemaid,no,2581,no,no
secondary,142015,38.0,divorced,blue-collar,no,0,yes,no
tertiary,142018,27.0,single,student,no,1134,no,no
tertiary,142020,67.0,married,retired,no,3810,no,no
secondary,142021,55.0,divorced,unemployed,no,309,no,no
tertiary,142022,33.0,single,management,no,6807,no,no
primary,142024,87.0,divorced,retired,no,6746,no,no
tertiary,142025,57.0,married,management,no,375,no,no
tertiary,142026,33.0,single,self-employed,no,658,yes,no
secondary,142027,51.0,married,technician,no,371,yes,yes
primary,142028,76.0,divorced,retired,no,2693,no,no
tertiary,142029,64.0,married,management,no,4688,no,no
secondary,142031,19.0,single,student,no,329,no,no
tertiary,142032,33.0,married,admin.,no,79,yes,no
tertiary,142033,55.0,divorced,management,no,0,no,no
unknown,142034,31.0,single,blue-collar,no,6281,no,no
unknown,142035,92.0,married,retired,no,775,no,no
secondary,142036,35.0,married,technician,no,2779,no,no
tertiary,142037,30.0,single,technician,no,411,no,no
tertiary,142038,68.0,single,retired,no,2144,no,no
secondary,142039,42.0,divorced,admin.,no,527,no,yes
tertiary,142040,41.0,single,technician,no,431,no,no
secondary,142043,29.0,married,self-employed,no,123,no,yes
secondary,142046,27.0,single,blue-collar,no,3792,no,no
unknown,142047,78.0,married,retired,no,4807,no,no
primary,142048,82.0,married,retired,no,8603,no,no
tertiary,142049,29.0,single,technician,no,2178,no,no
primary,142050,78.0,divorced,retired,no,229,no,no
tertiary,142052,76.0,married,retired,no,2991,no,no
tertiary,142054,38.0,married,management,no,4174,no,no
secondary,142055,60.0,married,technician,no,10925,no,no
secondary,142056,33.0,divorced,services,no,2411,yes,no
secondary,142057,43.0,married,blue-collar,no,14646,no,no
secondary,142058,61.0,married,retired,no,86,no,no
unknown,142059,43.0,single,technician,no,11115,no,no
primary,142060,73.0,married,retired,no,796,no,no
primary,142062,57.0,married,management,no,6900,no,no
tertiary,142063,33.0,married,management,no,5878,no,no
unknown,142064,77.0,married,management,no,1780,yes,no
SECONDARY,142066,35.0,single,technician,no,183,no,no
primary,142068,59.0,married,retired,no,3648,no,no
secondary,142070,76.0,married,retired,no,4112,no,no
tertiary,142071,40.0,married,admin.,no,1108,no,no
tertiary,142072,42.0,married,management,no,2463,no,no
secondary,142073,40.0,married,admin.,no,0,no,no
tertiary,142075,70.0,married,unknown,no,353,no,no
tertiary,142076,59.0,married,retired,no,1425,no,no
primary,142080,73.0,married,retired,no,542,no,no
primary,142083,81.0,married,retired,no,243,no,no
unknown,142086,41.0,single,unknown,no,942,no,no
secondary,142088,57.0,married,technician,no,254,no,no
unknown,142090,28.0,single,technician,no,0,yes,no
secondary,142091,38.0,single,blue-collar,no,0,no,no
tertiary,142092,30.0,single,management,no,398,no,no
SECONDARY,142093,52.0,married,services,no,992,yes,no
secondary,142094,22.0,single,student,no,23,no,no
primary,142095,53.0,married,unknown,no,732,no,no
unknown,142096,60.0,married,admin.,no,4629,yes,no
secondary,142099,55.0,married,technician,no,0,yes,yes
secondary,142102,80.0,married,retired,no,87,no,no
secondary,142103,56.0,married,management,no,0,no,no
SECONDARY,142107,38.0,divorced,housemaid,no,70,no,no
tertiary,142108,44.0,single,management,no,5063,no,no
secondary,142109,69.0,divorced,retired,no,4572,no,no
secondary,142110,65.0,married,retired,no,1624,no,no
tertiary,142113,29.0,single,services,no,1788,no,no
secondary,142114,52.0,married,services,no,659,no,no
tertiary,142115,36.0,single,student,no,129,no,no
tertiary,142116,33.0,single,management,no,3170,no,no
tertiary,142121,50.0,married,management,no,3463,no,yes
unknown,142128,75.0,married,self-employed,no,4984,no,no
tertiary,142129,27.0,single,management,no,390,no,no
primary,142130,65.0,married,retired,no,1004,no,no
secondary,142131,64.0,married,retired,no,4787,no,no
secondary,142134,30.0,single,ADMINISTRATION,no,914,yes,no
tertiary,142135,57.0,married,housemaid,no,2326,no,no
tertiary,142136,31.0,married,management,no,81,yes,no
secondary,142137,52.0,married,blue-collar,no,2230,no,no
tertiary,142138,25.0,single,management,no,667,no,no
tertiary,142139,36.0,married,management,no,203,no,no
tertiary,142141,64.0,married,management,no,3951,no,no
unknown,142142,54.0,married,technician,no,240,yes,no
secondary,142143,26.0,single,admin.,no,338,no,no
secondary,142144,51.0,single,self-employed,no,0,no,no
secondary,142145,72.0,married,retired,no,0,no,no
tertiary,142147,30.0,married,management,no,944,no,no
primary,142149,60.0,married,blue-collar,no,5,no,no
tertiary,142150,30.0,single,management,no,697,no,no
tertiary,142151,39.0,married,management,no,53,yes,no
secondary,142152,45.0,divorced,admin.,no,0,no,no
tertiary,142154,66.0,married,retired,no,1948,no,no
secondary,142155,50.0,married,technician,no,3654,no,no
secondary,142156,54.0,married,housemaid,no,962,yes,no
tertiary,142159,47.0,single,management,no,551,no,no
tertiary,142160,53.0,married,technician,no,395,no,no
tertiary,142161,47.0,single,management,no,159,no,no
primary,142162,80.0,married,retired,no,997,no,no
tertiary,142163,61.0,married,management,no,477,yes,no
tertiary,142165,47.0,married,management,no,3663,no,no
secondary,142168,30.0,single,technician,no,853,no,no
primary,142169,21.0,single,student,no,8278,no,no
primary,142170,56.0,married,retired,no,1947,no,no
tertiary,142172,62.0,married,management,no,7458,no,no
tertiary,142174,41.0,married,unemployed,no,0,no,no
primary,142175,84.0,married,retired,no,1791,no,no
tertiary,142179,49.0,divorced,management,no,348,no,no
secondary,142180,26.0,single,technician,no,44,no,no
secondary,142181,36.0,married,blue-collar,no,1193,no,no
primary,142182,87.0,married,retired,no,230,no,no
primary,142183,61.0,married,retired,no,8729,no,no
secondary,142186,70.0,married,retired,no,2384,no,no
tertiary,142187,60.0,married,management,no,3401,no,no
tertiary,142188,41.0,married,services,no,881,no,no
primary,142189,46.0,married,housemaid,no,3512,no,no
secondary,142190,22.0,single,student,no,1522,no,no
secondary,142192,60.0,divorced,retired,no,4243,no,no
secondary,142200,30.0,single,technician,no,846,no,no
tertiary,142206,32.0,single,management,no,9317,no,no
secondary,142210,54.0,married,technician,no,473,no,yes
tertiary,142212,35.0,single,self-employed,no,5462,no,no
secondary,142218,59.0,married,management,no,4412,no,no
tertiary,142222,55.0,divorced,management,no,2037,no,no
unknown,142223,29.0,single,student,no,10332,no,no
tertiary,142224,35.0,married,management,no,1133,yes,no
secondary,142226,44.0,married,admin.,no,205,no,no
secondary,142227,48.0,married,management,no,0,yes,yes
secondary,142228,35.0,divorced,admin.,no,1224,yes,no
tertiary,142229,37.0,married,management,no,238,no,no
tertiary,142230,36.0,single,management,no,62,yes,no
secondary,142231,52.0,single,admin.,no,2398,yes,no
tertiary,142232,55.0,single,management,no,0,no,no
secondary,142233,67.0,divorced,retired,no,704,no,no
tertiary,142234,36.0,married,self-employed,no,506,no,no
unknown,142237,64.0,married,management,no,2352,no,no
secondary,142238,45.0,married,housemaid,no,360,no,no
SECONDARY,142239,29.0,single,technician,no,938,no,no
secondary,142241,33.0,married,services,no,1697,no,no
secondary,142242,62.0,married,housemaid,no,2,no,no
tertiary,142243,27.0,single,management,no,1720,no,no
primary,142245,76.0,married,retired,no,1492,no,no
tertiary,142254,34.0,married,management,no,1778,no,no
tertiary,142260,42.0,married,management,no,603,yes,no
primary,142261,78.0,divorced,retired,no,55,no,no
secondary,142263,73.0,married,retired,no,19,no,no
secondary,142264,54.0,married,technician,no,0,no,no
primary,142268,67.0,married,retired,no,942,no,no
secondary,142269,24.0,married,technician,no,556,yes,no
tertiary,142270,33.0,married,technician,no,1699,no,no
secondary,142272,53.0,married,admin.,no,10541,no,no
secondary,142273,33.0,married,student,no,1536,no,no
tertiary,142274,24.0,single,student,no,235,no,no
tertiary,142275,32.0,single,management,no,935,no,no
tertiary,142276,60.0,married,self-employed,no,10861,no,no
tertiary,142277,64.0,married,entrepreneur,no,2331,no,no
secondary,142278,34.0,married,admin.,no,2374,yes,no
tertiary,142279,35.0,single,management,no,1228,no,no
secondary,142281,24.0,single,student,no,125,no,no
tertiary,142284,32.0,single,technician,no,1527,yes,no
tertiary,142285,38.0,single,management,no,3141,no,no
secondary,142286,47.0,married,housemaid,no,3940,yes,no
tertiary,142287,45.0,married,management,no,160,no,no
tertiary,142288,42.0,married,management,no,2816,no,no
primary,142289,63.0,divorced,retired,no,109,no,no
tertiary,142290,40.0,married,management,no,0,no,no
tertiary,142291,31.0,married,self-employed,no,2666,no,no
secondary,142292,44.0,single,admin.,no,1534,no,no
tertiary,142293,61.0,married,retired,no,2557,yes,no
tertiary,142295,67.0,married,management,no,405,no,no
tertiary,142296,33.0,married,management,no,22867,yes,no
secondary,142297,57.0,married,management,no,2155,no,yes
primary,142298,71.0,divorced,housemaid,no,1311,no,no
secondary,142299,79.0,married,retired,no,2661,no,no
secondary,142300,52.0,married,unemployed,no,94,no,no
SECONDARY,142302,48.0,divorced,unemployed,no,201,no,no
secondary,142304,47.0,married,admin.,no,0,no,no
secondary,142305,27.0,single,admin.,no,4590,yes,no
secondary,142310,63.0,married,retired,no,3579,no,no
primary,142311,49.0,married,management,no,3371,no,no
tertiary,142312,35.0,single,management,no,612,no,no
secondary,142314,23.0,single,technician,no,598,no,no
tertiary,142315,26.0,single,management,no,943,no,no
secondary,142316,58.0,married,blue-collar,no,381,no,no
tertiary,142317,40.0,married,management,no,9366,no,no
tertiary,142318,32.0,single,technician,no,6746,no,no
secondary,142320,33.0,married,services,no,1076,no,no
tertiary,142321,35.0,married,management,no,0,yes,no
tertiary,142322,53.0,married,management,no,1624,no,no
unknown,142323,20.0,single,student,no,801,no,no
tertiary,142325,44.0,divorced,self-employed,no,1070,yes,no
primary,142326,53.0,divorced,blue-collar,no,4401,no,no
SECONDARY,142328,21.0,single,student,no,123,no,no
secondary,142329,36.0,single,blue-collar,no,3623,no,no
tertiary,142330,31.0,single,management,no,533,no,no
secondary,142331,42.0,married,technician,no,994,yes,no
tertiary,142333,27.0,single,self-employed,no,168,no,no
secondary,142335,33.0,married,services,no,386,no,no
tertiary,142336,29.0,single,management,no,1026,no,no
secondary,142338,54.0,single,housemaid,no,1213,no,no
primary,142339,63.0,married,retired,no,8044,no,no
